Name,Disaster,Begin Date,End Date,Total loss Cost (Millions of Dollars),Deaths,Budget_asset
Western/Plains Drought/Heat Wave (Spring-Fall 2013),Drought,20130301,20131130,13241.2,53,62400
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,20110425,20110428,13288.4,321,62600
Midwest Flooding (Summer 2008),Flooding,20080401,20080630,13742.6,24,62800
Tropical Storm Allison (June 2001),Tropical Cyclone,20010605,20010617,13976.1,43,63000
U.S. Drought (Spring-Fall 2002),Drought,20020301,20021130,14860.7,0,63200
Hurricane Frances (September 2004),Tropical Cyclone,20040903,20040909,15092,48,63400
Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Drought,20110301,20110831,15913.3,95,63600
Hurricane Irene (August 2011),Tropical Cyclone,20110826,20110828,17407.3,45,63800
"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",Wildfire,20200801,20201230,18424,46,64000
Hurricane Hugo (September 1989),Tropical Cyclone,19890921,19890922,21059.8,86,64200
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,20170601,20171231,21426,54,64400
Hurricane Charley (August 2004),Tropical Cyclone,20040813,20040814,24639.2,35,64600
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,20210210,20210219,25181.8,262,64800
Hurricane Laura (August 2020),Tropical Cyclone,20200827,20200828,26000.8,42,65000
Hurricane Rita (September 2005),Tropical Cyclone,20050920,20050924,27195.1,119,65200
Hurricane Florence (September 2018),Tropical Cyclone,20180913,20180916,27840,53,65400
"Western Wildfires, California Firestorm (Summer-Fall 2018)",Wildfire,20180601,20181231,27840,106,65600
Hurricane Wilma (October 2005),Tropical Cyclone,20051024,20051024,27930,35,65800
Hurricane Michael (October 2018),Tropical Cyclone,20181010,20181011,28971,49,66000
Hurricane Ivan (September 2004),Tropical Cyclone,20040912,20040921,31570.9,57,66200
Central/Eastern Drought/Heat Wave (Summer-Fall 1980),Drought,6/1/1980,11/30/1980,37675.2,1260,66400
U.S. Drought/Heat Wave (2012),Drought,20120101,20121231,38704.4,123,66600
Hurricane Ike (September 2008),Tropical Cyclone,20080912,20080914,40198.5,112,66800
Midwest Flooding (Summer 1993),Flooding,19930627,19930815,42969.9,48,67000
U.S. Drought/Heat Wave (Summer 1988),Drought,19880601,19880831,50609.9,454,67200
Hurricane Andrew (August 1992),Tropical Cyclone,19920823,19920827,55890,61,67400
Hurricane Irma (September 2017),Tropical Cyclone,20170906,20170912,59500,97,67600
Hurricane Ida (August 2021),Tropical Cyclone,20210829,20210901,78722.3,96,67800
Hurricane Sandy (October 2012),Tropical Cyclone,20121030,20121031,81950,159,68000
Hurricane Maria (September 2017),Tropical Cyclone,20170919,20170921,107100,2981,68200
Hurricane Harvey (August 2017),Tropical Cyclone,20170825,20170831,148750,89,68400
Hurricane Katrina (August 2005),Tropical Cyclone,20050825,20050830,186294,1833,68600
