Name,Disaster,Begin Date,End Date,Total loss Cost (Millions of Dollars),Deaths,Budget_asset
Southeast Severe Weather (November 1992),Severe Storm,19921121,19921123,1353.2,26,11800
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,20080104,20080109,1355.2,12,12000
Illinois Flooding and Severe Weather (April 2013),Flooding,20130416,20130419,1357,4,12200
Colorado Hail Storm (July 2009),Severe Storm,20090720,20090720,1360,0,12400
Ohio Valley Tornadoes (November 2013),Severe Storm,20131117,20131117,1363.3,8,12600
Midwest/Plains Severe Weather (July 2003),Severe Storm,20030704,20030709,1364.3,7,12800
Tropical Storm Fred (August 2021),Tropical Cyclone,20210816,20210818,1366.6,7,13000
North Central Severe Weather (August 2021),Severe Storm,20210810,20210813,1374.1,2,13200
Western Wildfires (Summer-Fall 2009),Wildfire,20090601,20091130,1376.3,10,13400
Southern Tornadoes and Southeast Severe Weather (May 2021),Severe Storm,20210502,20210504,1378,4,13600
Tropical Storm Allison (June 1989),Tropical Cyclone,19890626,19890628,1380.6,11,13800
Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,20160521,20160526,1398.4,0,14000
"Severe Storms, Tornadoes (March 1991)",Severe Storm,19910326,19910329,1399.5,0,14200
Southeastern Tornado Outbreak (April 2022),Severe Storm,20220404,20220406,1409.3,3,14400
Southern Severe Weather (April 2008),Severe Storm,20080409,20080411,1413.9,2,14600
Western Severe Storms and Flooding (February 1986),Severe Storm,19860214,19860216,1414.6,13,14800
"South, East and Northeast Severe Weather (February 2020)",Severe Storm,20200205,20200207,1419.6,3,15000
Midwest Tornadoes (April 2012),Severe Storm,20120413,20120414,1427,6,15200
Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,20190413,20190414,1427.3,7,15400
Western Fire Season (Summer-Fall 1994),Wildfire,19940601,19941130,1428.4,0,15600
Central and Northeast Severe Weather (June 2015),Severe Storm,20150621,20150625,1429.7,1,15800
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,20190223,20190225,1435.6,2,16000
Louisiana Flooding (May 2021),Flooding,20210517,20210518,1450.9,5,16200
Severe Storms (June 1982),Severe Storm,5/31/1982,6/10/1982,1464.1,30,16400
Eastern Severe Weather (March 2021),Severe Storm,20210327,20210328,1480.6,8,16600
Midwest/Southeast Severe Weather (August 2011),Severe Storm,20110817,20110818,1485.3,0,16800
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,4/2/1982,4/4/1982,1488.4,33,17000
Southern Severe Weather (March 2016),Severe Storm,20160317,20160318,1488.7,1,17200
Texas Hail Storm (June 2018),Severe Storm,20180606,20180606,1508,0,17400
South Florida Flooding (October 2000),Flooding,20001003,20001004,1512,3,17600
Southern Severe Weather (April 2020),Severe Storm,20200421,20200423,1539,3,17800
Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,20180413,20180416,1542.3,3,18000
Southeast Tornadoes (March 2008),Severe Storm,20080314,20080315,1549.5,5,18200
"Severe Storms, Hail (June 1992)",Severe Storm,19920619,19920620,1555.8,0,18400
Southern Plains Tornadoes (May 2015),Severe Storm,20150506,20150510,1564.7,4,18600
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,19990113,19990116,1570.1,0,18800
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,20040521,20040527,1571.7,4,19000
"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,19891226,1577.8,100,19200
Western Fire Season (Summer 1990),Wildfire,19900601,19900831,1587.3,17,19400
South/Southeast Severe Weather (April 2015),Severe Storm,20150418,20150420,1591.8,0,19600
Rockies and Midwest Derecho (July 2011),Severe Storm,20110710,20110711,1593.3,2,19800
South Texas Hail Storms (May 2020),Severe Storm,20200527,20200527,1596,0,20000
Southern Derecho and Eastern Severe Weather (July 2003),Severe Storm,20030721,20030723,1603.1,7,20200
Central and Eastern Severe Weather (May 2018),Severe Storm,20180513,20180515,1603.1,5,20400
Texas Hail Storms (April 2021),Severe Storm,20210412,20210415,1622.5,0,20600
Hurricane Erin (August 1995),Tropical Cyclone,19950801,19950807,1623.5,6,20800
Central and Northeastern Severe Weather (May 2018),Severe Storm,20180501,20180504,1626.6,0,21000
Ohio and Pennsylvania Tornado Outbreak (June 1985),Severe Storm,19850531,19850531,1632,89,21200
Tropical Storm Eta (November 2020),Tropical Cyclone,20201108,20201112,1635.2,12,21400
U.S. Wildfires (Fall 2008),Wildfire,20080901,20081130,1653.5,16,21600
Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,20080205,20080206,1671.9,57,21800
Texas Flooding (October 1998),Flooding,19981016,19981024,1676.9,31,22000
Hurricane Dolly (July 2008),Tropical Cyclone,20080723,20080725,1685.5,3,22200
Severe Storms (March 1992),Severe Storm,19920324,19920325,1689.1,0,22400
Midwest Severe Weather (June 2017),Severe Storm,20170627,20170629,1695.8,0,22600
Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,20180318,20180321,1698.9,0,22800
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,19840327,19840407,1718.8,80,23000
Rockies/Plains Severe Weather (September 2014),Severe Storm,20140929,20141002,1722.5,0,23200
